Hash,RSSI,SNR,Throughput,BER,FEC,PC,MC,Output
088a8c2ee986425378b8e5d07656da773cf6e724be6488fa4f534fc82b088b0e,1.0,1.0,1.0,0.007812137723373737,0.6196312249799083,0.45,0.0,0.8224811941248269
088a8c2ee986425378b8e5d07656da773cf6e724be6488fa4f534fc82b088b0e,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42413384456190173
088a8c2ee986425378b8e5d07656da773cf6e724be6488fa4f534fc82b088b0e,0.13565217391304327,0.26325411334552096,0.000349862387460932,0.6224500237547534,0.9361121457523937,0.0,0.0,0.5026672630179788
088a8c2ee986425378b8e5d07656da773cf6e724be6488fa4f534fc82b088b0e,0.5823188405797103,0.7468007312614259,0.9994168960208984,0.005180557461790883,0.30332816836939036,1.0,0.5,0.6111848766863338
088a8c2ee986425378b8e5d07656da773cf6e724be6488fa4f534fc82b088b0e,0.9072463768115941,0.5137111517367459,0.16233614778187247,0.0,0.48720959640975936,0.75,0.25,0.5500940406768106
62e8a38b95f2ef7b938a4771ecd44d8baa938318f4e079ad19699805995d1425,0.0,0.7534833869239013,0.0014872694177451217,0.033580338467258,0.494732509478207,0.2,1.0,0.49729746117968704
62e8a38b95f2ef7b938a4771ecd44d8baa938318f4e079ad19699805995d1425,0.9761065413239326,1.0,0.6327110479699882,0.00844472764716229,0.0,0.45,0.0,0.7434001963963013
62e8a38b95f2ef7b938a4771ecd44d8baa938318f4e079ad19699805995d1425,0.012534273403838354,0.0,0.0,1.0,0.3088621708076962,0.0,0.0,0.41849850692538415
62e8a38b95f2ef7b938a4771ecd44d8baa938318f4e079ad19699805995d1425,0.2314923619271444,0.2786709539121115,0.00033297076516681834,0.6702065319039502,1.0,0.0,0.0,0.4801589574856606
62e8a38b95f2ef7b938a4771ecd44d8baa938318f4e079ad19699805995d1425,1.0,0.9539121114683816,1.0,0.00495721074235397,0.14966960520941414,1.0,0.5,0.6310772463224764
62e8a38b95f2ef7b938a4771ecd44d8baa938318f4e079ad19699805995d1425,0.6588327457892672,0.6302250803858521,0.16044751270838423,0.0,0.3053948788893883,0.75,0.25,0.5306379533113914
9ed55b854dc6394fd3a41a48256bc563a12a6be0230941d5a8b3b9fd81b50a3b,0.41237764445847813,0.5008417508417509,0.001241597807937663,0.03625339213938141,0.5560503011837666,0.2,1.0,0.4980347279273483
9ed55b854dc6394fd3a41a48256bc563a12a6be0230941d5a8b3b9fd81b50a3b,0.9883170192611302,1.0,1.0,0.008121098543080503,0.9488717806477225,0.45,0.0,0.8265661936066413
9ed55b854dc6394fd3a41a48256bc563a12a6be0230941d5a8b3b9fd81b50a3b,0.1089359014840544,0.0,0.0,1.0,0.3078967463304374,0.0,0.0,0.4178559719021047
9ed55b854dc6394fd3a41a48256bc563a12a6be0230941d5a8b3b9fd81b50a3b,0.0,0.2062289562289562,0.00025688230509055097,0.6781796852574781,1.0,0.0,0.0,0.4775445230353694
9ed55b854dc6394fd3a41a48256bc563a12a6be0230941d5a8b3b9fd81b50a3b,0.8907483422797602,0.6363636363636364,0.8888341824720639,0.005154436878029758,0.0,1.0,0.5,0.5937180856871582
9ed55b854dc6394fd3a41a48256bc563a12a6be0230941d5a8b3b9fd81b50a3b,1.0,0.4351851851851852,0.15273793723509013,0.0,0.6747447089984646,0.75,0.25,0.5284852988234046
cf86f86eaba05c1bf8eeaf78d87cf0b4dab24a5feded8a9c5c77959228ebd06d,0.7658227848101263,0.5203125,0.0014032625855113137,0.04004350244108012,0.9730947904406335,0.2,1.0,0.4993545921581114
cf86f86eaba05c1bf8eeaf78d87cf0b4dab24a5feded8a9c5c77959228ebd06d,1.0,1.0,1.0,0.008314220824273084,0.5881110659036564,0.45,0.0,0.8261319137456246
cf86f86eaba05c1bf8eeaf78d87cf0b4dab24a5feded8a9c5c77959228ebd06d,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4156970599983331
cf86f86eaba05c1bf8eeaf78d87cf0b4dab24a5feded8a9c5c77959228ebd06d,0.2319168173598551,0.22734375,0.0003288896684792141,0.6702914179542114,1.0,0.0,0.0,0.47960402879329594
cf86f86eaba05c1bf8eeaf78d87cf0b4dab24a5feded8a9c5c77959228ebd06d,0.39737793851717856,0.6359375,0.8523285388528329,0.005716992520981938,0.17480531465565408,1.0,0.5,0.5901906235105565
