Hash,RSSI,SNR,Throughput,BER,FEC,PC,MC,Delay,Jitter,HC,Ouput
5a84feeb002621fcb61bdca34dc105adeeb7cfcff7d9ceec5574369da4707934,0.03337722185648393,0.06564608199273483,0.003424657534246578,0.9466457311257701,0.6661639935750419,0.0,0.0,1.0,0.0,1.0,0.41153959979530613
5a84feeb002621fcb61bdca34dc105adeeb7cfcff7d9ceec5574369da4707934,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.595285471347661
5a84feeb002621fcb61bdca34dc105adeeb7cfcff7d9ceec5574369da4707934,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.40471452865233903
425720055d2cf81e004d9ee9f47b82f5b7ed5f63f02969da2d0442396cc765fb,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.38789634317724164
425720055d2cf81e004d9ee9f47b82f5b7ed5f63f02969da2d0442396cc765fb,1.0,1.0,1.0,0.0,0.852076559349283,1.0,1.0,0.0,0.0,0.0,0.6123170604036259
425720055d2cf81e004d9ee9f47b82f5b7ed5f63f02969da2d0442396cc765fb,0.07932816537467663,0.153538384596149,0.006841505131128847,0.7971321389527266,0.0,0.0,0.0,1.0,1.0,1.0,0.4093756819032037
196cfd9300f2e32e289ac712bd681dde7b98ec5910257cd4b26ba5a251bfc475,0.0,0.0,0.0,1.0,0.3308902754766688,0.0,0.0,1.0,0.0,1.0,0.40267099101006293
196cfd9300f2e32e289ac712bd681dde7b98ec5910257cd4b26ba5a251bfc475,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5970793474180329
196cfd9300f2e32e289ac712bd681dde7b98ec5910257cd4b26ba5a251bfc475,0.16653138528138464,0.337167899205697,0.016311166875784194,0.8205432710921584,1.0,0.0,0.0,1.0,0.0,1.0,0.44110748718087195
86d5bb9bff1fcf42ef0f1f60b042b4d4c1c72edfba6a9bf9cdffd5e67de0ac2b,0.0,0.0,0.0,1.0,0.658721060741191,0.0,0.0,1.0,1.0,1.0,0.39976657564139817
